seed,best_epoch,best_loss,best_val_loss,evaluation_mode,rmse_test,r2_test
0,1,11.821900803714838,14.492345965638453,heldout_test,0.6688321359734817,0.9292396434575534
1,1,11.824649352726974,14.487539653388822,heldout_test,0.6690702493639235,0.9291892511790308
2,4,11.81834662783306,14.457748623283543,heldout_test,0.664828155130448,0.9300843249143436
7,1,11.827477092928442,14.494629451206752,heldout_test,0.6690661202090807,0.929190125190824
11,2,11.819743249636106,14.48312458116181,heldout_test,0.6683707728147917,0.929337231357716
17,1,11.81619499280752,14.476456011558065,heldout_test,0.6690601637744176,0.9291913859705964
21,1,11.823722288530146,14.493115973959164,heldout_test,0.6689332160499473,0.9292182539269422
42,1,11.821479712552966,14.485986682346889,heldout_test,0.668912934978574,0.9292225458587764
99,3,11.822943754138743,14.469391686575753,heldout_test,0.6692002319878965,0.929161735201422
123,2,11.82039631776867,14.468712530330736,heldout_test,0.6688934289859959,0.9292266736437049
